platform,date,product_name,seller_sku_resolved,net_units,gross_sales,net_gross_sales
TikTok,2024-02-27,Birria Bomb 2-Pack,1729443667774378778,55,1744.37,1434.45
TikTok,2024-02-28,Birria Bomb 2-Pack,1729443667774378778,122,4263.7,4013.78
TikTok,2024-02-29,Birria Bomb 2-Pack,1729443667774378778,129,4503.61,4198.71
TikTok,2024-03-01,Birria Bomb 2-Pack,1729443667774378778,64,2259.32,2134.36
TikTok,2024-03-06,Birria Bomb 2-Pack,1729443667774378778,20,419.79,378.8
TikTok,2024-03-07,Birria Bomb 2-Pack,1729443667774378778,102,2118.94,1921.98
TikTok,2024-03-08,Birria Bomb 2-Pack,1729443667774378778,166,3458.27,3163.34
TikTok,2024-03-09,Birria Bomb 2-Pack,1729443667774378778,107,2198.9,1997.93
TikTok,2024-03-10,Birria Bomb 2-Pack,1729443667774378778,168,3518.24,3160.32
TikTok,2024-03-11,Birria Bomb 2-Pack,1729443667774378778,243,5057.47,4647.57
TikTok,2024-03-12,Birria Bomb 2-Pack,1729443667774378778,95,1959.02,1821.05
TikTok,2024-03-13,Birria Bomb 2-Pack,1729443667774378778,118,2538.73,2222.32
TikTok,2024-03-14,Birria Bomb 2-Pack,1729443667774378778,166,3478.26,3124.64
TikTok,2024-03-15,Birria Bomb 2-Pack,1729443667774378778,153,3238.38,2916.47
TikTok,2024-03-16,Birria Bomb 2-Pack,1729443667774378778,132,2718.64,2529.88
TikTok,2024-03-17,Birria Bomb 2-Pack,1729443667774378778,151,3078.46,2862.99
TikTok,2024-03-18,Birria Bomb 2-Pack,1729443667774378778,74,1719.14,1404.86
TikTok,2024-03-19,Birria Bomb 2-Pack,1729443667774378778,87,1819.09,1658.13
TikTok,2024-03-20,Birria Bomb 2-Pack,1729443667774378778,82,1719.14,1551.69
TikTok,2024-03-21,Birria Bomb 2-Pack,1729443667774378778,67,1519.24,1285.83
TikTok,2024-03-22,Birria Bomb 2-Pack,1729443667774378778,85,1839.08,1627.15
TikTok,2024-03-23,Birria Bomb 2-Pack,1729443667774378778,75,1559.22,1441.75
TikTok,2024-03-24,Birria Bomb 2-Pack,1729443667774378778,111,2238.88,2095.89
TikTok,2024-03-25,Birria Bomb 2-Pack,1729443667774378778,88,1819.09,1633.42
TikTok,2024-03-26,Birria Bomb 2-Pack,1729443667774378778,284,6116.94,4835.57
TikTok,2024-03-27,Birria Bomb 2-Pack,1729443667774378778,261,5477.26,4476.62
TikTok,2024-03-28,Birria Bomb 2-Pack,1729443667774378778,213,4697.65,3628.58
TikTok,2024-03-29,Birria Bomb 2-Pack,1729443667774378778,151,3158.42,2508.5
TikTok,2024-03-30,Birria Bomb 2-Pack,1729443667774378778,145,3058.47,2458.88
TikTok,2024-03-31,Birria Bomb 2-Pack,1729443667774378778,70,1479.26,1342.6
TikTok,2024-04-01,Birria Bomb 2-Pack,1729443667774378778,163,3058.47,2760.13
TikTok,2024-04-02,Birria Bomb 2-Pack,1729443667774378778,104,2238.88,1951.97
TikTok,2024-04-03,Birria Bomb 2-Pack,1729443667774378778,177,3698.15,3330.25
TikTok,2024-04-04,Birria Bomb 2-Pack,1729443667774378778,157,3118.44,2886.5
TikTok,2024-04-05,Birria Bomb 2-Pack,1729443667774378778,144,2938.53,2776.56
TikTok,2024-04-06,Birria Bomb 2-Pack,1729443667774378778,101,2138.93,2018.99
TikTok,2024-04-07,Birria Bomb 2-Pack,1729443667774378778,82,1839.08,1515.2
TikTok,2024-04-08,Birria Bomb 2-Pack,1729443667774378778,69,1499.25,1269.82
TikTok,2024-04-09,Birria Bomb 2-Pack,1729443667774378778,158,3298.35,2643.99
TikTok,2024-04-10,Birria Bomb 2-Pack,1729443667774378778,163,3298.35,3045.94
TikTok,2024-04-11,Birria Bomb 2-Pack,1729443667774378778,172,3538.23,3413.33
TikTok,2024-04-12,Birria Bomb 2-Pack,1729443667774378778,138,2858.57,2648.84
TikTok,2024-04-13,Birria Bomb 2-Pack,1729443667774378778,161,3418.29,3073.68
TikTok,2024-04-14,Birria Bomb 2-Pack,1729443667774378778,173,3578.21,3358.47
TikTok,2024-04-15,Birria Bomb 2-Pack,1729443667774378778,139,2798.6,2538.81
TikTok,2024-04-16,Birria Bomb 2-Pack,1729443667774378778,184,3798.1,3338.53
TikTok,2024-04-17,Birria Bomb 2-Pack,1729443667774378778,184,3598.2,3218.53
TikTok,2024-04-18,Birria Bomb 2-Pack,1729443667774378778,99,1939.03,1854.17
TikTok,2024-04-19,Birria Bomb 2-Pack,1729443667774378778,110,2078.96,2019.08
TikTok,2024-04-20,Birria Bomb 2-Pack,1729443667774378778,153,3158.42,2858.72
TikTok,2024-04-21,Birria Bomb 2-Pack,1729443667774378778,148,2998.5,2813.78
TikTok,2024-04-22,Birria Bomb 2-Pack,1729443667774378778,193,3738.13,3376.32
TikTok,2024-04-23,Birria Bomb 2-Pack,1729443667774378778,268,5297.35,4314
TikTok,2024-04-24,Birria Bomb 2-Pack,1729443667774378778,429,8975.51,6898.82
TikTok,2024-04-25,Birria Bomb 2-Pack,1729443667774378778,393,7916.04,6218.63
TikTok,2024-04-26,Birria Bomb 2-Pack,1729443667774378778,173,3438.28,3228.3
TikTok,2024-04-27,Birria Bomb 2-Pack,1729443667774378778,506,10474.76,8277.2
TikTok,2024-04-28,Birria Bomb 2-Pack,1729443667774378778,822,16731.63,13104
TikTok,2024-04-29,Birria Bomb 2-Pack,1729443667774378778,1263,25727.13,19725
TikTok,2024-04-30,Birria Bomb 2-Pack,1729443667774378778,1859,38180.9,29635.91
TikTok,2024-05-01,Birria Bomb 2-Pack,1729443667774378778,1801,36921.53,28827.89
TikTok,2024-05-02,Birria Bomb 2-Pack,1729443667774378778,1640,33743.12,26207.92
TikTok,2024-05-03,Birria Bomb 2-Pack,1729443667774378778,1532,31464.26,24527.96
TikTok,2024-05-04,Birria Bomb 2-Pack,1729443667774378778,1054,21269.36,16783.96
TikTok,2024-05-05,Birria Bomb 2-Pack,1729443667774378778,792,16451.77,14552.51
TikTok,2024-05-06,Birria Bomb 2-Pack,1729443667774378778,656,13233.38,11322
TikTok,2024-05-07,Birria Bomb 2-Pack,1729443667774378778,573,11894.05,10296
TikTok,2024-05-08,Birria Bomb 2-Pack,1729443667774378778,442,9255.37,8594.08
TikTok,2024-05-09,Birria Bomb 2-Pack,1729443667774378778,575,11854.07,9476.77
TikTok,2024-05-10,Birria Bomb 2-Pack,1729443667774378778,696,14452.77,11412.09
TikTok,2024-05-11,Birria Bomb 2-Pack,1729443667774378778,635,13113.44,10593.65
TikTok,2024-05-12,Birria Bomb 2-Pack,1729443667774378778,299,6376.81,5977.01
TikTok,2024-05-13,Birria Bomb 2-Pack,1729443667774378778,257,5657.17,5137.43
TikTok,2024-05-14,Birria Bomb 2-Pack,1729443667774378778,363,7696.15,7236.38
TikTok,2024-05-15,Birria Bomb 2-Pack,1729443667774378778,428,8955.52,8084.58
TikTok,2024-05-16,Birria Bomb 2-Pack,1729443667774378778,443,9135.43,8440.37
TikTok,2024-05-17,Birria Bomb 2-Pack,1729443667774378778,290,6316.84,5797.1
TikTok,2024-05-18,Birria Bomb 2-Pack,1729443667774378778,314,6756.62,6276.86
TikTok,2024-05-19,Birria Bomb 2-Pack,1729443667774378778,285,6176.91,5697.15
TikTok,2024-05-20,Birria Bomb 2-Pack,1729443667774378778,236,5597.2,4717.64
TikTok,2024-05-21,Birria Bomb 2-Pack,1729443667774378778,537,11434.28,9912.29
TikTok,2024-05-22,Birria Bomb 2-Pack,1729443667774378778,485,10334.83,9092.34
TikTok,2024-05-23,Birria Bomb 2-Pack,1729443667774378778,509,10574.71,9445.03
TikTok,2024-05-24,Birria Bomb 2-Pack,1729443667774378778,1444,30564.71,23645.18
TikTok,2024-05-25,Birria Bomb 2-Pack,1729443667774378778,2031,43278.35,33557.69
TikTok,2024-05-26,Birria Bomb 2-Pack,1729443667774378778,2154,46316.83,35551.97
TikTok,2024-05-27,Birria Bomb 2-Pack,1729443667774378778,2423,52313.83,39998.28
TikTok,2024-05-28,Birria Bomb 2-Pack,1729443667774378778,1278,27266.36,25547.22
TikTok,2024-05-29,Birria Bomb 2-Pack,1729443667774378778,1875,40479.75,32423.31
TikTok,2024-05-30,Birria Bomb 2-Pack,1729443667774378778,3477,73463.25,58915.12
TikTok,2024-05-31,Birria Bomb 2-Pack,1729443667774378778,3166,67106.43,53660.45
TikTok,2024-06-01,Birria Bomb 2-Pack,1729443667774378778,3010,65407.28,51172.9
TikTok,2024-06-02,Birria Bomb 2-Pack,1729443667774378778,1653,35262.36,28059.49
TikTok,2024-06-03,Birria Bomb 2-Pack,1729443667774378778,1,19.99,16.99
TikTok,2024-06-04,Birria Bomb 2-Pack,1729443667774378778,4440,95512.22,67434.69
TikTok,2024-06-05,Birria Bomb 2-Pack,1729443667774378778,6039,130494.72,91834.98
TikTok,2024-06-06,Birria Bomb 2-Pack,1729443667774378778,9349,198320.79,141337.9
TikTok,2024-06-07,Birria Bomb 2-Pack,1729443667774378778,1,19.99,15
TikTok,2024-06-08,Birria Bomb 2-Pack,1729443667774378778,3,59.97,45
TikTok,2024-06-10,Birria Bomb 2-Pack,1729443667774378778,4048,88075.94,68778.55
TikTok,2024-06-11,Birria Bomb 2-Pack,1729443667774378778,3949,84577.69,66913.63
TikTok,2024-06-12,Birria Bomb 2-Pack,1729443667774378778,4648,97931.01,78781.65
TikTok,2024-06-13,Birria Bomb 2-Pack,1729443667774378778,3817,78880.54,64794.87
TikTok,2024-06-14,Birria Bomb 2-Pack,1729443667774378778,5879,121499.22,99827.27
TikTok,2024-06-15,Birria Bomb 2-Pack,1729443667774378778,14,299.85,237.86
TikTok,2024-06-16,Birria Bomb 2-Pack,1729443667774378778,6,119.94,101.94
TikTok,2024-06-17,Birria Bomb 2-Pack,1729443667774378778,3102,64807.58,52726.98
TikTok,2024-06-18,Birria Bomb 2-Pack,1729443667774378778,4867,100469.74,82482.47
TikTok,2024-06-19,Birria Bomb 2-Pack,1729443667774378778,4562,94152.9,77437.45
TikTok,2024-06-20,Birria Bomb 2-Pack,1729443667774378778,4118,86136.91,69940.85
TikTok,2024-06-21,Birria Bomb 2-Pack,1729443667774378778,5474,113063.44,93031.27
TikTok,2024-06-22,Birria Bomb 2-Pack,1729443667774378778,5512,113883.03,93687.88
TikTok,2024-06-23,Birria Bomb 2-Pack,1729443667774378778,3443,71244.36,58474.59
TikTok,2024-06-24,Birria Bomb 2-Pack,1729443667774378778,47,979.51,798.53
TikTok,2024-06-25,Birria Bomb 2-Pack,1729443667774378778,4279,88675.64,72634.27
TikTok,2024-06-26,Birria Bomb 2-Pack,1729443667774378778,6075,126496.72,103220.28
TikTok,2024-06-27,Birria Bomb 2-Pack,1729443667774378778,5431,113163.39,92270.73
TikTok,2024-06-28,Birria Bomb 2-Pack,1729443667774378778,5006,104067.94,84915.04
TikTok,2024-06-29,Birria Bomb 2-Pack,1729443667774378778,4399,91154.4,74698.05
TikTok,2024-06-30,Birria Bomb 2-Pack,1729443667774378778,4772,100329.81,80888.41
TikTok,2024-07-01,Birria Bomb 2-Pack,1729443667774378778,3297,68385.79,55748.2
TikTok,2024-07-02,Birria Bomb 2-Pack,1729443667774378778,2910,60489.74,49134.1
TikTok,2024-07-03,Birria Bomb 2-Pack,1729443667774378778,2551,54552.71,43178.6
TikTok,2024-07-04,Birria Bomb 2-Pack,1729443667774378778,2643,55972,44872.61
TikTok,2024-07-05,Birria Bomb 2-Pack,1729443667774378778,5260,109085.43,89642.48
TikTok,2024-07-06,Birria Bomb 2-Pack,1729443667774378778,4292,89695.13,73152.08
TikTok,2024-07-07,Birria Bomb 2-Pack,1729443667774378778,4392,91694.13,74623.11
TikTok,2024-07-08,Birria Bomb 2-Pack,1729443667774378778,4086,86376.79,67662.01
TikTok,2024-07-09,Birria Bomb 2-Pack,1729443667774378778,8467,174712.6,127039.04
TikTok,2024-07-10,Birria Bomb 2-Pack,1729443667774378778,7785,159480.22,116748.45
TikTok,2024-07-11,Birria Bomb 2-Pack,1729443667774378778,7266,148645.64,108839.61
TikTok,2024-07-12,Birria Bomb 2-Pack,1729443667774378778,4385,89435.26,74451.44
TikTok,2024-07-13,Birria Bomb 2-Pack,1729443667774378778,4562,92533.71,77502.14
TikTok,2024-07-14,Birria Bomb 2-Pack,1729443667774378778,4846,98630.66,82249.6
TikTok,2024-07-15,Birria Bomb 2-Pack,1729443667774378778,4697,96611.67,79838.3
TikTok,2024-07-16,Birria Bomb 2-Pack,1729443667774378778,5101,104627.66,86448.28
TikTok,2024-07-17,Birria Bomb 2-Pack,1729443667774378778,4431,90934.51,75081.95
TikTok,2024-07-18,Birria Bomb 2-Pack,1729443667774378778,3512,72043.96,59290.14
TikTok,2024-07-19,Birria Bomb 2-Pack,1729443667774378778,3364,70324.82,57123.41
TikTok,2024-07-20,Birria Bomb 2-Pack,1729443667774378778,5258,108065.94,89275.47
TikTok,2024-07-21,Birria Bomb 2-Pack,1729443667774378778,4612,94232.86,78293.93
TikTok,2024-07-22,Birria Bomb 2-Pack,1729443667774378778,4502,92433.76,76284.12
TikTok,2024-07-23,Birria Bomb 2-Pack,1729443667774378778,3235,70884.54,55003.67
TikTok,2024-07-24,Birria Bomb 2-Pack,1729443667774378778,3809,83258.35,64745.92
TikTok,2024-07-25,Birria Bomb 2-Pack,1729443667774378778,3756,83018.47,63808.02
TikTok,2024-07-26,Birria Bomb 2-Pack,1729443667774378778,4670,97951,79150.03
TikTok,2024-07-27,Birria Bomb 2-Pack,1729443667774378778,3794,79080.44,64400.28
TikTok,2024-07-28,Birria Bomb 2-Pack,1729443667774378778,4180,85557.2,70870.29
TikTok,2024-07-29,Birria Bomb 2-Pack,1729443667774378778,3618,73783.09,61347.15
