platform,date,product_name,on_hand,in_transit
TikTok,2025-01-31,Birria Bomb 2-Pack,94446.0,0.0
TikTok,2025-01-31,Brine Bomb,41830.0,0.0
TikTok,2025-01-31,Pozole Bomb 2-Pack,252914.0,0.0
TikTok,2025-01-31,Variety Pack,24772.0,0.0
TikTok,2025-02-28,Birria Bomb 2-Pack,85478.0,0.0
TikTok,2025-02-28,Brine Bomb,35836.0,0.0
TikTok,2025-02-28,Pozole Bomb 2-Pack,170697.0,0.0
TikTok,2025-02-28,Variety Pack,10741.0,0.0
TikTok,2025-03-31,Birria Bomb 2-Pack,69180.0,12096.0
TikTok,2025-03-31,Brine Bomb,21006.0,0.0
TikTok,2025-03-31,Pozole Bomb 2-Pack,92898.0,0.0
TikTok,2025-03-31,Variety Pack,2682.0,500.0
TikTok,2025-04-30,Birria Bomb 2-Pack,76253.0,24192.0
TikTok,2025-04-30,Brine Bomb,22855.0,0.0
TikTok,2025-04-30,Pozole Bomb 2-Pack,129122.0,0.0
TikTok,2025-04-30,Tinga Bomb 2-Pack,18014.0,8064.0
TikTok,2025-04-30,Variety Pack,882.0,0.0
TikTok,2025-05-31,Birria Bomb 2-Pack,127427.0,36288.0
TikTok,2025-05-31,Brine Bomb,31603.0,0.0
TikTok,2025-05-31,Pozole Bomb 2-Pack,126086.0,0.0
TikTok,2025-05-31,Tinga Bomb 2-Pack,19299.0,0.0
TikTok,2025-05-31,Variety Pack,1860.0,0.0
TikTok,2025-06-30,Birria Bomb 2-Pack,111961.0,48384.0
TikTok,2025-06-30,Brine Bomb,22855.0,0.0
TikTok,2025-06-30,Pozole Bomb 2-Pack,174836.0,0.0
TikTok,2025-06-30,Tinga Bomb 2-Pack,21719.0,0.0
TikTok,2025-06-30,Variety Pack,801.0,0.0
TikTok,2025-07-31,Birria Bomb 2-Pack,107790.0,72582.0
TikTok,2025-07-31,Brine Bomb,524.0,0.0
TikTok,2025-07-31,Pozole Bomb 2-Pack,65841.0,12096.0
TikTok,2025-07-31,Tinga Bomb 2-Pack,11439.0,4032.0
TikTok,2025-07-31,Variety Pack,664.0,0.0
TikTok,2025-08-17,Birria Bomb 2-Pack,38274.0,0.0
TikTok,2025-08-17,Brine Bomb,14.0,0.0
TikTok,2025-08-17,Pozole Bomb 2-Pack,9551.0,12096.0
TikTok,2025-08-17,Tinga Bomb 2-Pack,4098.0,4032.0
TikTok,2025-08-17,Variety Pack,353.0,0.0
TikTok,2025-08-18,Birria Bomb 2-Pack,40628.0,0.0
TikTok,2025-08-18,Brine Bomb,15.0,0.0
TikTok,2025-08-18,Pozole Bomb 2-Pack,9385.0,12096.0
TikTok,2025-08-18,Tinga Bomb 2-Pack,4027.0,4032.0
TikTok,2025-08-18,Variety Pack,830.0,0.0
TikTok,2025-08-19,Birria Bomb 2-Pack,48437.0,0.0
TikTok,2025-08-19,Brine Bomb,15.0,0.0
TikTok,2025-08-19,Pozole Bomb 2-Pack,9201.0,12096.0
TikTok,2025-08-19,Tinga Bomb 2-Pack,3908.0,4032.0
TikTok,2025-08-19,Variety Pack,1263.0,0.0
TikTok,2025-08-20,Birria Bomb 2-Pack,48660.0,0.0
TikTok,2025-08-20,Brine Bomb,15.0,0.0
TikTok,2025-08-20,Pozole Bomb 2-Pack,9087.0,12096.0
TikTok,2025-08-20,Tinga Bomb 2-Pack,3827.0,3000.0
TikTok,2025-08-20,Variety Pack,1248.0,0.0
TikTok,2025-08-21,Birria Bomb 2-Pack,50512.0,0.0
TikTok,2025-08-21,Brine Bomb,14.0,0.0
TikTok,2025-08-21,Pozole Bomb 2-Pack,8958.0,6000.0
TikTok,2025-08-21,Tinga Bomb 2-Pack,3708.0,2000.0
TikTok,2025-08-21,Variety Pack,1318.0,0.0
TikTok,2025-08-25,Birria Bomb 2-Pack,44872.0,24192.0
TikTok,2025-08-25,Brine Bomb,14.0,0.0
TikTok,2025-08-25,Pozole Bomb 2-Pack,8549.0,6000.0
TikTok,2025-08-25,Tinga Bomb 2-Pack,3418.0,1000.0
TikTok,2025-08-25,Variety Pack,1236.0,0.0
TikTok,2025-08-26,Birria Bomb 2-Pack,0.0,24192.0
TikTok,2025-08-27,Birria Bomb 2-Pack,0.0,24192.0
TikTok,2025-08-28,Birria Bomb 2-Pack,0.0,24192.0
TikTok,2025-08-29,Birria Bomb 2-Pack,0.0,12000.0
TikTok,2025-08-30,Birria Bomb 2-Pack,0.0,6000.0
TikTok,2025-09-01,Brine Bomb,4000.0,0.0
TikTok,2025-09-01,Pozole Bomb 2-Pack,3000.0,0.0
TikTok,2025-09-01,Tinga Bomb 2-Pack,2000.0,0.0
TikTok,2025-09-01,Variety Pack,4000.0,0.0
TikTok,2025-09-02,Birria Bomb 2-Pack,40960.0,0.0
TikTok,2025-09-02,Brine Bomb,13.0,0.0
TikTok,2025-09-02,Pozole Bomb 2-Pack,7664.0,2000.0
TikTok,2025-09-02,Tinga Bomb 2-Pack,2738.0,0.0
TikTok,2025-09-02,Variety Pack,1236.0,0.0
TikTok,2025-09-03,Birria Bomb 2-Pack,42574.0,0.0
TikTok,2025-09-03,Brine Bomb,9.0,0.0
TikTok,2025-09-03,Pozole Bomb 2-Pack,7533.0,0.0
TikTok,2025-09-03,Tinga Bomb 2-Pack,2642.0,0.0
TikTok,2025-09-03,Variety Pack,981.0,0.0
TikTok,2025-09-04,Birria Bomb 2-Pack,42945.0,0.0
TikTok,2025-09-04,Brine Bomb,9.0,0.0
TikTok,2025-09-04,Pozole Bomb 2-Pack,7260.0,0.0
TikTok,2025-09-04,Tinga Bomb 2-Pack,2557.0,0.0
TikTok,2025-09-04,Variety Pack,981.0,0.0
TikTok,2025-09-07,Birria Bomb 2-Pack,50391.0,0.0
TikTok,2025-09-07,Brine Bomb,9.0,0.0
TikTok,2025-09-07,Pozole Bomb 2-Pack,6004.0,0.0
TikTok,2025-09-07,Tinga Bomb 2-Pack,2368.0,0.0
TikTok,2025-09-07,Variety Pack,743.0,0.0
TikTok,2025-09-08,Birria Bomb 2-Pack,49435.0,24192.0
TikTok,2025-09-08,Brine Bomb,7.0,1536.0
TikTok,2025-09-08,Pozole Bomb 2-Pack,5701.0,3024.0
TikTok,2025-09-08,Tinga Bomb 2-Pack,2333.0,720.0
TikTok,2025-09-08,Variety Pack,694.0,700.0
TikTok,2025-09-09,Birria Bomb 2-Pack,48675.0,24192.0
TikTok,2025-09-09,Brine Bomb,5.0,1536.0
TikTok,2025-09-09,Pozole Bomb 2-Pack,5451.0,3024.0
TikTok,2025-09-09,Tinga Bomb 2-Pack,2288.0,720.0
TikTok,2025-09-09,Variety Pack,643.0,700.0
TikTok,2025-09-10,Birria Bomb 2-Pack,47823.0,24192.0
TikTok,2025-09-10,Brine Bomb,2.0,1536.0
TikTok,2025-09-10,Pozole Bomb 2-Pack,5243.0,3024.0
TikTok,2025-09-10,Tinga Bomb 2-Pack,2243.0,720.0
TikTok,2025-09-10,Variety Pack,578.0,700.0
TikTok,2025-09-11,Birria Bomb 2-Pack,52831.0,24192.0
TikTok,2025-09-11,Brine Bomb,355.0,1536.0
TikTok,2025-09-11,Pozole Bomb 2-Pack,6492.0,3024.0
TikTok,2025-09-11,Tinga Bomb 2-Pack,2561.0,720.0
TikTok,2025-09-11,Variety Pack,607.0,700.0
TikTok,2025-09-14,Birria Bomb 2-Pack,56074.0,24192.0
TikTok,2025-09-14,Brine Bomb,565.0,1536.0
TikTok,2025-09-14,Pozole Bomb 2-Pack,6265.0,3024.0
TikTok,2025-09-14,Tinga Bomb 2-Pack,2485.0,720.0
TikTok,2025-09-14,Variety Pack,908.0,700.0
