platform,date,product_name,seller_sku_resolved,net_units,gross_sales
TikTok,2024-04-01,Birria Bomb 2-Pack,850058580951,16.0,0.0
TikTok,2024-04-02,Birria Bomb 2-Pack,850058580951,1.0,0.0
TikTok,2024-04-03,Birria Bomb 2-Pack,850058580951,2.0,0.0
TikTok,2024-04-04,Birria Bomb 2-Pack,850058580951,7.0,19.99
TikTok,2024-04-07,Birria Bomb 2-Pack,850058580951,2.0,0.0
TikTok,2024-04-08,Birria Bomb 2-Pack,850058580951,1.0,0.0
TikTok,2024-04-09,Birria Bomb 2-Pack,850058580951,2.0,0.0
TikTok,2024-04-10,Birria Bomb 2-Pack,850058580951,1.0,0.0
TikTok,2024-04-12,Birria Bomb 2-Pack,850058580951,1.0,19.99
TikTok,2024-04-15,Birria Bomb 2-Pack,850058580951,5.0,0.0
TikTok,2024-04-16,Birria Bomb 2-Pack,850058580951,3.0,0.0
TikTok,2024-04-17,Birria Bomb 2-Pack,850058580951,10.0,0.0
TikTok,2024-04-18,Birria Bomb 2-Pack,850058580951,3.0,0.0
TikTok,2024-04-19,Birria Bomb 2-Pack,850058580951,7.0,19.99
TikTok,2024-04-20,Birria Bomb 2-Pack,850058580951,5.0,0.0
TikTok,2024-04-21,Birria Bomb 2-Pack,850058580951,2.0,19.99
TikTok,2024-04-22,Birria Bomb 2-Pack,850058580951,4.0,19.99
TikTok,2024-04-23,Birria Bomb 2-Pack,850058580951,4.0,19.99
TikTok,2024-04-24,Birria Bomb 2-Pack,850058580951,1.0,0.0
TikTok,2024-04-25,Birria Bomb 2-Pack,850058580951,3.0,39.98
TikTok,2024-04-26,Birria Bomb 2-Pack,850058580951,3.0,0.0
TikTok,2024-04-27,Birria Bomb 2-Pack,850058580951,3.0,0.0
TikTok,2024-04-28,Birria Bomb 2-Pack,850058580951,5.0,39.98
TikTok,2024-04-29,Birria Bomb 2-Pack,850058580951,12.0,59.97
TikTok,2024-04-30,Birria Bomb 2-Pack,850058580951,9.0,99.95
TikTok,2024-05-01,Birria Bomb 2-Pack,850058580951,6.0,119.94
TikTok,2024-05-02,Birria Bomb 2-Pack,850058580951,6.0,59.97
TikTok,2024-05-03,Birria Bomb 2-Pack,850058580951,3.0,59.97
TikTok,2024-05-04,Birria Bomb 2-Pack,850058580951,8.0,39.98
TikTok,2024-05-05,Birria Bomb 2-Pack,850058580951,2.0,39.98
TikTok,2024-05-06,Birria Bomb 2-Pack,850058580951,27.0,19.99
TikTok,2024-05-07,Birria Bomb 2-Pack,850058580951,4.0,59.97
TikTok,2024-05-08,Birria Bomb 2-Pack,850058580951,4.0,79.96
TikTok,2024-05-09,Birria Bomb 2-Pack,850058580951,10.0,159.92
TikTok,2024-05-10,Birria Bomb 2-Pack,850058580951,9.0,79.96
TikTok,2024-05-11,Birria Bomb 2-Pack,850058580951,3.0,59.97
TikTok,2024-05-12,Birria Bomb 2-Pack,850058580951,7.0,139.92999999999998
TikTok,2024-05-13,Birria Bomb 2-Pack,850058580951,4.0,79.96
TikTok,2024-05-14,Birria Bomb 2-Pack,850058580951,6.0,119.94
TikTok,2024-05-15,Birria Bomb 2-Pack,850058580951,2.0,39.98
TikTok,2024-05-16,Birria Bomb 2-Pack,850058580951,2.0,39.98
TikTok,2024-05-17,Birria Bomb 2-Pack,850058580951,3.0,59.97
TikTok,2024-05-18,Birria Bomb 2-Pack,850058580951,4.0,79.96
TikTok,2024-05-19,Birria Bomb 2-Pack,850058580951,5.0,99.95
TikTok,2024-05-20,Birria Bomb 2-Pack,850058580951,8.0,159.92
TikTok,2024-05-21,Birria Bomb 2-Pack,850058580951,5.0,79.96
TikTok,2024-05-22,Birria Bomb 2-Pack,850058580951,3.0,0.0
TikTok,2024-05-23,Birria Bomb 2-Pack,850058580951,14.0,59.97
TikTok,2024-05-24,Birria Bomb 2-Pack,850058580951,5.0,39.98
TikTok,2024-05-25,Birria Bomb 2-Pack,850058580951,10.0,199.9
TikTok,2024-05-26,Birria Bomb 2-Pack,850058580951,13.0,239.88
TikTok,2024-05-27,Birria Bomb 2-Pack,850058580951,8.0,139.92999999999998
