date,platform,sku_id,product_name,sku_type,core_products,units_sold,gross_sales,avg_gross_per_unit,net_gross_sales,avg_net_gross_per_unit
2024-02-27,TikTok,1729443667774378778,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,34,659.65,19.4,639.66,18.81
2024-02-27,TikTok,1729443667774444314,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,17,734.79,43.22,594.83,34.99
2024-02-27,TikTok,1729443667774509850,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,4,349.93,87.48,199.96,49.99
2024-02-28,TikTok,1729443667774378778,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,38,819.59,21.57,759.62,19.99
2024-02-28,TikTok,1729443667774444314,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,63,2344.33,37.21,2204.37,34.99
2024-02-28,TikTok,1729443667774509850,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,21,1099.78,52.37,1049.79,49.99
2024-02-29,TikTok,1729443667774378778,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,42,919.54,21.89,839.58,19.99
2024-02-29,TikTok,1729443667774444314,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,66,2484.29,37.64,2309.34,34.99
2024-02-29,TikTok,1729443667774509850,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,21,1099.78,52.37,1049.79,49.99
2024-03-01,TikTok,1729443667774378778,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,23,499.75,21.73,459.77,19.99
2024-03-01,TikTok,1729443667774444314,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,25,909.74,36.39,874.75,34.99
2024-03-01,TikTok,1729443667774509850,Birria Bombs Pack by EZ Bombs,core,Birria Bomb 2-Pack,16,849.83,53.11,799.84,49.99
2024-03-06,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,20,419.79,20.99,378.8,18.94
2024-03-07,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,102,2118.94,20.77,1921.98,18.84
2024-03-08,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,166,3458.27,20.83,3163.34,19.06
2024-03-09,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,107,2198.9,20.55,1997.93,18.67
